User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Noticias de Ucrania 24 horas,@UKR_token,2022-09-29T22:43:58.000Z,"Noticias de Ucrania 24 horas
@UKR_token
·
Sep 30, 2022TotalEnergies: "" El 28 de septiembre se observó una actividad inusual de drones cerca de su campo de petróleo y gas Halfdan B""  (Mar del Norte danés), dijo la compañía francesa este jueves.
1
29
42",1,29,42
Nadia's WINK,@NADIARAKIB,2022-09-29T22:39:45.000Z,"Nadia's WINK
@NADIARAKIB
·
Sep 30, 2022#Superprofits : le très beau cadeau de TotalEnergies à ses actionnaires !
actu.capital.fr
Superprofits : le très beau cadeau de TotalEnergies à ses actionnaires
Un dividende exceptionnel de 2,62 milliards d'euros va être accordé par TotalEnergies à ses actionnaires. C'est ce qu'a annoncé l'entreprise dans un communiqué mercredi 28 septembre.",,,
Oil&Gas Magazine,@OilGasMagazine,2022-09-29T22:05:01.000Z,"Oil&Gas Magazine
@OilGasMagazine
·
Sep 30, 2022#MIDSTREAM | 
@TotalEnergies
 aumentará la producción de GNL y se distancia de Rusia 
https://buff.ly/3UO9IpO",,,
David Iruela,@DavidIruela1,2022-09-29T21:39:13.000Z,"David Iruela
@DavidIruela1
·
Sep 29, 2022Replying to 
@TotalEnergies
No habria biocombustible de ese para un 0,1% de los vuelos comerciales ni aunque el mundo entero se alimentase a diario de croquetas. ¿A quién cojones queréis engañar con estas gilipolleces progres?
2
4",,2,4
123 INFO FRANCE,@123_INFO_FR,2022-09-29T21:16:51.000Z,"123 INFO FRANCE
@123_INFO_FR
·
Sep 29, 2022Grèves du 29 septembre : La grève se poursuit chez TotalEnergies, possible prolongation du mouvement
Source : 20 Minutes
20minutes.fr
Grèves du 29 septembre : La grève se poursuit chez TotalEnergies, possible prolongation du mouvement
Revivez avec nous toutes les informations sur le mouvement social de ce jeudi 29 septembre 2022",,,
tonyo,@anthony_tonyo,2022-09-29T20:56:46.000Z,"tonyo
@anthony_tonyo
·
Sep 29, 2022Replying to 
@LouisBoyard
 and 
@TotalEnergies
Ceux qui se gavent,on parle bien des députés ?
1",,,1
Fabrice Matteucci,@matteucciF,2022-09-29T20:37:11.000Z,"Fabrice Matteucci
@matteucciF
·
Sep 29, 2022Des milliers de personnes pour le pouvoir d'achat et les retraites... Alors que les actionnaires de  Totalenergies se répartissent +2,6 milliards de dividende. https://lemonde.fr/economie/article/2022/09/28/superprofits-totalenergies-annonce-le-versement-d-un-dividende-exceptionnel-de-2-62-milliards-d-euros-a-ses-actionnaires_6143553_3234.html…
1
4
12",1,4,12
123 INFO FRANCE,@123_INFO_FR,2022-09-29T20:16:50.000Z,"123 INFO FRANCE
@123_INFO_FR
·
Sep 29, 2022Grèves du 29 septembre : La grève se poursuit chez TotalEnergies, possible prolongation du mouvement
Source : 20 Minutes
20minutes.fr
Grèves du 29 septembre : La grève se poursuit chez TotalEnergies, possible prolongation du mouvement
Revivez avec nous toutes les informations sur le mouvement social de ce jeudi 29 septembre 2022",,,
Antoine Paredes,@Antho88279272,2022-09-29T20:14:01.000Z,"Antoine Paredes
@Antho88279272
·
Sep 29, 2022Replying to 
@LouisBoyard
 and 
@TotalEnergies
C'est vrai il faut en finir avec ces glandeurs de députés comme toi qui se gavent sur le dos des français.",,,
David,@Dave_dac,2022-09-29T19:57:06.000Z,"David
@Dave_dac
·
Sep 29, 2022Replying to 
@LouisBoyard
 and 
@TotalEnergies
Celui qui se gave comme un cochon  avec ses 6000€+ par moi c’est toi garçon! Et cela sans aucune valeur pour personne… c’est bien plus grave que ceux qui perçoivent des dividendes pour avoir investi LEUR argent dans des entreprises.
4",,,4
MounPaïs,@moun_pais,2022-09-29T19:51:29.000Z,"MounPaïs
@moun_pais
·
Sep 29, 2022Replying to 
@BFMTV
Il serait vraiment bien de se pencher plus avant sur ce sujet 
@EliseLucet
 !.. 
@TotalEnergies
 #dividendes .., #actionnaires #actions",,,
Mosaiqueguinee.com,@mosaiqueguinee,2022-09-29T19:35:17.000Z,"Mosaiqueguinee.com
@mosaiqueguinee
·
Sep 29, 2022Guinée : TotalEnergies récompense ses meilleurs chauffeurs de l’année 2021
mosaiqueguinee.com
Guinée : TotalEnergies récompense ses meilleurs chauffeurs de l’année 2021
A l’occasion d’une cérémonie ce mercredi 28 septembre à la station-service de la Bellevue, TotalEnergies Marketing Guinée a récompensé ses
1
5",,1,5
123 INFO FRANCE,@123_INFO_FR,2022-09-29T19:16:48.000Z,"123 INFO FRANCE
@123_INFO_FR
·
Sep 29, 2022Grèves du 29 septembre : La grève se poursuit chez TotalEnergies, possible prolongation du mouvement
Source : 20 Minutes
20minutes.fr
Grèves du 29 septembre : La grève se poursuit chez TotalEnergies, possible prolongation du mouvement
Revivez avec nous toutes les informations sur le mouvement social de ce jeudi 29 septembre 2022",,,
Nelson Hernandez,@nhernandez0322,2022-09-29T19:05:12.000Z,"Nelson Hernandez
@nhernandez0322
·
Sep 29, 2022Total consigue acuerdo con Qatar. La gran empresa energética francesa TotalEnergies (NYSE:TTE) firmó acuerdo con QatarEnergy por el que invertiría 1500 millones de $ en el proyecto de expansión North Field South (NFS), la 1ra empresa occidental que se presenta como socio de NFS",,,
Jean Emile Quazza ن,@JEQ64,2022-09-29T19:04:17.000Z,"Jean Emile Quazza ن
@JEQ64
·
Sep 29, 2022Replying to 
@LouisBoyard
 and 
@TotalEnergies
Vu le travail que vous fournissez, « se gaver » me semble être le terme approprié en ce qui vous concerne.",,,
Jardo Zouille,@JardoZouille,2022-09-29T19:01:14.000Z,"Jardo Zouille
@JardoZouille
·
Sep 29, 2022Replying to 
@VilleCG
 @hautsdefrance
 and 
@TotalEnergies
C'est absolument choquant, l'Etat va faire baisser sa facture de chauffage, en augmentant celles des pauvres. C'est l'inverse qui devrait se produire. Et pour ça, les recettes de l'Etat doivent impérativement augmenter.
3",,,3
Mimi Souris,@MimiSouris17,2022-09-29T18:58:07.000Z,"Mimi Souris
@MimiSouris17
·
Sep 29, 2022Prix de l’électricité : jusqu’à 120 euros de remise (ou de prime) versés par Engie et TotalEnergies https://mariefrance.fr/actualite/prix-de-lelectricite-jusqua-120-euros-de-remise-ou-de-prime-verses-par-engie-et-totalenergies-666202.htm…
Ils se foutent vraiment de nous à l'Elysée ils vont chauffer à 19 ?
mariefrance.fr
Marie France, magazine féminin
marie france plus de vie, plus d'envies
1
1",1,,1
Observatoire des DAF,@daf_de_demain,2022-09-29T18:52:53.000Z,"Observatoire des DAF
@daf_de_demain
·
Sep 29, 2022TotalEnergies soigne ses actionnaires après ses profits record
lesechos.fr
TotalEnergies soigne ses actionnaires après ses profits record
Le géant pétrolier français a annoncé le versement d'un dividende exceptionnel. Avec son programme de rachat d'actions, c'est entre 35 % et 40 % du cash flow qui ira aux actionnaires cette année.",,,
The Lallantop,@TheLallantop,2022-09-29T18:51:02.000Z,"The Lallantop
@TheLallantop
·
Sep 29, 2022फ्रांस की इस कंपनी ने गौतम अडानी की कंपनी से निवेश पर मुनाफावसूली करने का फैसला किया है. इसके तहत कंपनी अडानी ग्रीन एनर्जी में अपनी हिस्सेदारी घटाने जा रही है.
#GautamAdani #AdaniGreenEnergy #TotalEnergiesSE
thelallantop.com
फ्रांस की ये कंपनी गौतम अडानी की एनर्जी कंपनी से हिस्सेदारी क्यों बेचनी जा रही है?
फ्रांस की एनर्जीज एसई कंपनी ने ये फैसला लिया है.
1
4
31",1,4,31
Huchet Claude,@HuchetClaude2,2022-09-29T18:33:35.000Z,"Huchet Claude
@HuchetClaude2
·
Sep 29, 2022Replying to 
@LouisBoyard
 and 
@TotalEnergies
En finir avec ceux qui se gavent dans l’abondance . Tu peux préciser ta penser Loulou? Parce que là ça ressemble un peu à un appel au crime. Les mots ont un sens !",,,
Nice-Matin,@Nice_Matin,2022-09-29T18:25:51.000Z,"Nice-Matin
@Nice_Matin
·
Sep 29, 2022La grève pour les salaires se poursuit chez TotalEnergies, possible prolongation du mouvement https://bit.ly/3BV7eNQ
3",,,3
Nice City Mag,@NiceCityMag,2022-09-29T18:25:14.000Z,"Nice City Mag
@NiceCityMag
·
Sep 29, 2022La grève pour les salaires se poursuit chez TotalEnergies, possible prolongation du mouvement
nicecitymag.fr
La grève pour les salaires se poursuit chez TotalEnergies, possible prolongation du mouvement -
La grève s’est poursuivie jeudi, dans les raffineries françaises du géant des hydrocarbures TotalEnergies, ainsi que chez son concurrent Esso-ExxonMobil,",,,
Var-matin,@Var_Matin,2022-09-29T18:24:24.000Z,"Var-matin
@Var_Matin
·
Sep 29, 2022La grève pour les salaires se poursuit chez TotalEnergies, possible prolongation du mouvement https://varmatin.com/greve-mouvements-sociaux/la-greve-pour-les-salaires-se-poursuit-chez-totalenergies-possible-prolongation-du-mouvement-797104?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1664475815…
2",,,2
Bloomberg TV,@BloombergTV,2022-09-29T16:50:05.000Z,"Bloomberg TV
@BloombergTV
·
Sep 29, 2022“We're good for the winter in Europe on the gas side,” says TotalEnergies SE Chief Executive Officer Patrick Pouyanne.

He is bullish on pushing his company into renewable energy even as the Russian invasion of Ukraine shakes up the global energy market https://trib.al/MyuqtZC
11
9",,11,9
Lali7103,@Lali7103,2022-09-29T16:49:16.000Z,"Lali7103
@Lali7103
·
Sep 29, 2022Replying to 
@Lali7103
 @AgnesRunacher
 and 3 others
Ses prix",,,
Jean-Louis David,@JeanLou40553504,2022-09-29T16:40:52.000Z,"Jean-Louis David
@JeanLou40553504
·
Sep 29, 2022Quand l’actualité économique résonne avec l’actualité politique. Ce mercredi 28 septembre, TotalÉnergies a indiqué que l’entreprise va verser à ses actionnaires un acompte sur dividende exceptionnel de 2,62 milliards d’euros.

https://huffingtonpost.fr/politique/article/total-va-verser-2-6-milliards-en-dividende-a-ses-actionnaires-et-fait-hurler-a-gauche_208336.html…
1",1,,
Tango Yankee 2 fois,@GoodBoyMurphy,2022-09-29T16:20:19.000Z,"Tango Yankee 2 fois
@GoodBoyMurphy
·
Sep 29, 2022Y’a plus d’essence dans toute la ville ! Mais 
@TotalEnergies
 va verser 2 millards à ses actionnaires et 
@BrunoLeMaire
 ne sait toujours pas ce qu’est un #SuperProfit …!!!
1",,1,
Passe l'info à ton voisin φ,@InfoVoisin,2022-09-29T16:09:43.000Z,"Passe l'info à ton voisin φ
@InfoVoisin
·
Sep 29, 2022Si vous n'êtes pas actionnaires, pensez au tricot ! 
TotalEnergies va verser à ses actionnaires un acompte sur dividende exceptionnel de 2,62 milliards d'euros

Pour financer la lutte dessinée :
 https://ko-fi.com/allanbarte
#Total #TotalEnergies #Superprofits #Greve29Septembre
1
1",,1,1
vert,@Vert_le_media,2022-09-29T16:09:00.000Z,"vert
@Vert_le_media
·
Sep 29, 2022Au menu de la quotidienne, ce jeudi : 
Le gouvernement s'y prend « de la pire façon » sur les renouvelables et le nucléaire
@TotalEnergies
 fait pleuvoir ses superprofits
Présentiel VS télétravail : le match
mailchi.mp
La quotidienne l TotalEnergies du désespoir
Les énergies renouvelables sont en retard comme jamais, quand pleuvent les profits des pétroliers.
2",,,2
 J.P.H ,@jphnomade,2022-09-29T16:02:33.000Z," J.P.H 
@jphnomade
·
Sep 29, 2022En plein débat sur les #Superprofits ... 
.
Total va verser à ses actionnaires, un acompte sur #dividende exceptionnel de ... 2,62 MILLIARDS d'Euros !!!
.
#CriseÉnergétique #dividende #Finance #Précarité #TotalEnergies #Pauvreté #actionnaires #Energie #stop",,,
JPH Twittes,@jphtwittes,2022-09-29T16:01:38.000Z,"JPH Twittes
@jphtwittes
·
Sep 29, 2022En plein débat sur les #Superprofits ... 
.
Total va verser à ses actionnaires, un acompte sur #dividende exceptionnel de ... 2,62 MILLIARDS d'Euros !!!
.
#CriseÉnergétique #dividende #Finance #Précarité #TotalEnergies #Pauvreté #actionnaires #Energie #stop",,,
ChartMill,@ChartMill,2022-09-29T15:41:03.000Z,"ChartMill
@ChartMill
·
Sep 29, 2022With a price book ratio of 1.00, $TTE.PA is valued rather cheaply. https://chartmill.com/stock/analyzer/stock/TTE.PA?view=fundamental-analysis&key=3ab49945-75de-4ee1-a8fc-b2f725daab31&utm_source=twitterEU&utm_medium=FA&utm_content=TTE.PA&utm_campaign=social_tracking… #ChartMill #TOTALENERGIESSE #TTE #EuronextParis-Matif #FundamentalAnalysis",,,
AutoPlus,@AutoPlusMag,2022-09-29T14:00:46.000Z,"AutoPlus
@AutoPlusMag
·
Sep 29, 2022Alors que les grèves s'intensifient chez TotalEnergies, le groupe pétrolier verse des dividendes record à ses actionnaires, dans un climat social tendu.
autoplus.fr
TotalEnergies : dividendes records et grève des salariés
Alors que les grèves s'intensifient chez TotalEnergies, le groupe pétrolier verse des dividendes record à ses actionnaires, dans un climat social tendu.
1
2",,1,2
